type,lat,lon,alt,frq,rng,frq2,id,icao,rwy,name
4,51.20385800,002.90082400,13,11155,18,76.374,IMI,EBOS,08,ILS-cat-I
4,51.19597500,002.84889900,13,10950,18,256.374,IOS,EBOS,26,ILS-cat-I
4,50.97324400,012.49517800,625,10870,18,219.964,IALW,EDAC,22,ILS-cat-I
4,53.88223648,014.13080025,92,11130,18,285.540,IHEW,EDAH,28,ILS-cat-I
4,51.85248300,011.39314400,596,10875,18,257.350,ICOW,EDBC,26,ILS-cat-I
4,52.37906900,013.53301100,157,11070,18,68.790,ISSE,EDDB,07,ILS-cat-I
4,52.36605000,013.47811700,157,10990,18,248.749,ISSW,EDDB,25,ILS-cat-III
4,51.14605278,013.78412222,703,11050,18,40.830,IDRE,EDDC,04,ILS-cat-II
4,51.12263333,013.75188333,755,10970,18,220.806,IDRW,EDDC,22,ILS-cat-I
4,50.97810600,010.97941900,1016,10830,18,97.718,IERE,EDDE,10,ILS-cat-II
4,50.98161400,010.93551700,1025,10990,18,277.677,IERW,EDDE,28,ILS-cat-II
4,50.04621700,008.59154700,364,11055,18,69.614,IFCE,EDDF,07C,ILS-cat-II
4,50.04636890,008.53576845,357,11175,18,69.586,IFNE,EDDF,07L,ILS-cat-I
4,50.04123600,008.59149200,362,11095,18,69.619,IFSE,EDDF,07R,ILS-cat-II
4,50.03170000,008.53079400,329,11155,25,249.568,IFCW,EDDF,25C,ILS-cat-II
4,50.02672200,008.53075000,328,11115,18,249.570,IFSW,EDDF,25L,ILS-cat-II
4,50.03659583,008.49488084,357,11135,18,249.586,IFNW,EDDF,25R,ILS-cat-I
4,52.13828600,007.70208900,156,11190,18,70.926,IMOE,EDDG,07,ILS-cat-I
4,52.13047500,007.66512500,159,11010,18,251.024,IMOW,EDDG,25,ILS-cat-III
4,53.63851900,010.00473600,45,11050,18,50.193,IHHE,EDDH,05,ILS-cat-I
4,53.62320600,010.00217500,38,11135,18,152.887,IHHS,EDDH,15,ILS-cat-I
4,53.61587800,009.95890800,36,11150,18,230.209,IHHW,EDDH,23,ILS-cat-III
4,50.85286700,007.16906400,302,11090,18,137.577,IKES,EDDK,14L,ILS-cat-III
4,50.85919200,007.12070600,231,10910,18,244.335,IKOW,EDDK,24,ILS-cat-I
4,50.88228600,007.12643900,230,10970,18,317.545,IKEN,EDDK,32R,ILS-cat-III
