icao,lat1,lon1,lat2,lon2,width,sign
WXZ9,-03.37745560,138.00732122,-03.37590538,138.01127860,27.13,6
74J,30.89041328,-085.16390201,30.88218560,-085.16373467,35.05,18
4CA7,39.67441066,-121.88614671,39.66702266,-121.88547553,18.29,16
85TA,32.63857389,-097.18237879,32.63391721,-097.18208899,15.24,17
I38,39.13079497,-084.82928314,39.13420503,-084.82793910,30.48,02
SNUC,-05.59497800,-036.96733600,-05.59511900,-036.95449200,31.09,11
0D7,40.79046407,-083.83265851,40.79046832,-083.82557557,34.14,09
KADH,34.81327500,-096.67197500,34.79623300,-096.67197200,30.48,17
KADH,34.80653600,-096.67353300,34.80049700,-096.66623900,15.24,13
MI33,42.79020670,-082.64124316,42.79429996,-082.63748074,60.96,04
PADK,51.87835835,-176.65727463,51.88884435,-176.62724163,60.96,05
PADK,51.88272235,-176.64764158,51.86198035,-176.65080858,60.96,18
YADY,-35.99863657,148.80274899,-35.99737503,148.79381453,29.87,09
VIAX,31.44216900,075.74823600,31.42534700,075.76941700,45.11,13
90PA,41.87578776,-078.11767845,41.88267668,-078.11233657,30.48,04
GA91,33.39455197,-084.46009897,33.39956857,-084.46030881,30.48,36
1II2,40.61568060,-084.83843355,40.61596772,-084.83121645,45.72,09
PS50,41.77078571,-075.72407886,41.76492595,-075.72240892,30.48,18
8NC5,34.57815356,-079.24938131,34.57106088,-079.24847593,22.86,18
9H2,37.90049687,-089.13763019,37.90515923,-089.13752705,21.34,36
63C,43.96551400,-089.79263100,43.95722200,-089.78671400,18.29,15
63C,43.96026900,-089.79257800,43.96167500,-089.78020000,30.48,08
7FL3,27.44117433,-080.58817364,27.44279343,-080.58027136,41.15,08
70LL,40.94663708,-088.75006695,40.93676236,-088.75006695,24.38,18
83OH,40.06555689,-084.37969279,40.05898977,-084.37909277,18.29,18
LTAF,36.97481700,035.26801900,36.98946700,035.29276900,45.11,05
YADA,-25.90004602,144.56374658,-25.89270253,144.57281624,78.03,4
YADA,-25.89268783,144.56221783,-25.89651198,144.57521064,86.87,10
4TX8,33.25229015,-097.22412843,33.24516817,-097.22368213,30.48,17
KEKX,37.68035000,-085.93257500,37.69166400,-085.91750000,30.48,05
KADS,32.97784400,-096.84051100,32.95927200,-096.83239700,30.48,15
2A8,34.20650519,-087.16087083,34.21203147,-087.15526363,34.14,04
AU01,-35.17756344,139.11174251,-35.17906548,139.12175989,10.06,10
YPAD,-34.95852900,138.51720042,-34.94065900,138.54330673,46.02,05
YPAD,-34.94117850,138.52191000,-34.94939000,138.53698400,46.02,12
YPPF,-34.80376534,138.63063736,-34.79305500,138.63760200,17.98,03L
YPPF,-34.80215091,138.63433611,-34.79199859,138.64093739,17.98,03R
YPPF,-34.79558284,138.62331155,-34.79476500,138.63409500,17.98,08R
YPPF,-34.79353672,138.62475888,-34.79275700,138.63518000,17.98,08L
AU02,-33.88199451,138.10077334,-33.89326551,138.10759696,49.99,15
AU02,-33.89184970,138.09965674,-33.88160700,138.10651800,49.99,2
52CL,34.53918520,-117.46884306,34.53580090,-117.45236528,30.48,09
52CL,34.53226320,-117.46218710,34.54272290,-117.45902124,30.48,36
YADL,-15.52618100,123.15489000,-15.51833600,123.15489000,10.06,18
YALG,-18.69724042,138.52314884,-18.69221306,138.53230455,18.90,6
VA71,38.64589171,-077.53402421,38.65101329,-077.53150691,30.48,03
OYAA,12.82641700,045.01475000,12.83266700,045.04283600,45.11,08
SDRD,-21.64195266,-047.47435408,-21.64304734,-047.46786814,29.87,12
CA01,41.18714475,-120.95715605,41.18485913,-120.94722229,12.19,09
NY17,44.60198888,-073.85687103,44.60198888,-073.84897343,6.10,09
KSLK,44.38020800,-074.21327500,44.39499400,-074.19889200,45.72,05
KSLK,44.38050300,-074.21385000,44.38257200,-074.19883100,30.48,09
LTCP,37.72403100,038.45815800,37.73870800,038.47971400,29.87,05
HUAJ,03.33938300,031.75963300,03.33908100,031.76980800,19.81,09
8IL0,42.35012336,-088.63481945,42.35547218,-088.63481945,23.77,36
LTBJ,38.30657800,027.15271900,38.27820600,027.16120800,44.81,16L
LTBJ,38.30623100,027.15064200,38.27782500,027.15918900,44.81,16R
NM37,33.57191728,-107.90344736,33.58098938,-107.89664320,18.29,02
SNAH,-10.57897800,-038.09339700,-10.58286100,-038.08413900,20.12,13
6M3,38.87538418,-091.29996435,38.86970304,-091.30034677,15.24,18
WIME,01.40255300,099.42467500,01.39765300,099.43623100,22.86,11
EN01,61.26070300,011.67072200,61.25534700,011.66898100,10.06,01
SSXN,-08.30137337,-055.11868122,-08.29529329,-055.11076323,49.99,07
38PA,40.38758829,-075.01749480,40.39428893,-075.01062132,30.48,05
1GA9,33.75967014,-083.65021891,33.76334096,-083.65512277,91.44,32
FD88,27.34176084,-080.52685577,27.34221304,-080.51714201,50.29,09
SJCN,-16.90827864,-047.71184010,-16.90561025,-047.70482657,20.12,09
SWMA,-11.83680676,-046.26840393,-11.83041547,-046.26492941,20.12,05
SJTL,-22.97842775,-051.55349525,-22.97879447,-051.54372698,20.12,11
SWKM,-14.64222789,-057.50613752,-14.64610546,-057.50219581,22.86,15
SJIE,-13.55686579,-058.86311695,-13.54368976,-058.85688305,20.12,04
T31,33.21436700,-096.74194200,33.20253300,-096.74194200,12.19,17
TS96,32.08311874,-095.45732867,32.08220124,-095.44702579,24.38,09
TX54,33.30104864,-096.86410748,33.29584968,-096.86367252,9.14,17
7IS2,38.52775591,-090.05829876,38.52123409,-090.05559014,30.48,16
1WI6,42.84022235,-088.06958541,42.84036597,-088.05836459,35.05,09
55OI,40.85959832,-080.54064732,40.85774722,-080.53004602,30.48,11
IL58,41.43439604,-088.25100262,41.43788728,-088.24634572,22.86,05
30IS,42.07453264,-088.62874673,42.07996346,-088.62142995,30.48,05
2OI4,41.04504605,-081.94014762,41.04561949,-081.93291350,18.29,09
76C,43.11055289,-088.16163233,43.10613265,-088.15799435,24.38,15
76C,43.11089884,-088.15987445,43.10578670,-088.15975223,33.53,18
76C,43.10713707,-088.16171318,43.10954847,-088.15791350,33.53,05
5II9,39.35275774,-087.37769703,39.35287502,-087.36900743,60.96,09
NC21,34.98992786,-080.75169403,34.99370380,-080.74511153,18.29,06
SSXW,-18.80689073,-052.60445817,-18.80866483,-052.59609739,24.99,12
SIQQ,-18.12930032,-049.79765629,-18.13792189,-049.79456593,22.86,18
SJPP,-09.86178237,-056.00556848,-09.85210652,-056.00332040,29.87,03
NM42,34.41919684,-103.13418509,34.41206538,-103.13570937,45.72,18
SNXE,00.98947659,-051.12315253,00.99719008,-051.11851413,17.98,05
89TX,30.88317824,-098.41721029,30.87550842,-098.41674195,15.24,17
69FD,30.84542137,-085.28448763,30.84457863,-085.27829015,15.24,10
1IA6,40.88322803,-095.48636368,40.88676807,-095.48418022,15.24,02
MN98,45.40724450,-093.38498286,45.41546216,-093.38436938,45.72,36
45IN,38.99912554,-085.74876158,38.99375946,-085.74729398,15.24,17
SJKA,-13.62790900,-057.90146446,-13.64264656,-057.89742442,24.99,18
SNAU,-10.90100729,-037.08698149,-10.90510491,-037.07913331,13.72,14
SSAQ,-28.24678408,-052.52049722,-28.25377292,-052.51283558,15.54,15
SSAQ,-28.24641450,-052.51861939,-28.25414250,-052.51471341,13.41,17
SA37,-31.65661673,-064.39506893,-31.64718127,-064.39321716,39.93,02
SA37,-31.64489595,-064.36639490,-31.65518175,-064.36644588,29.87,18
SADS,-34.73066145,-058.59906986,-34.73468492,-058.59065547,46.02,12
SADS,-34.73082289,-058.59935608,-34.73723767,-058.59534449,75.90,16
SA1L,-35.74937872,-058.46310165,-35.75604507,-058.46180056,39.93,17
SSAK,-28.66122516,-053.61219028,-28.65433040,-053.60892084,60.05,04
SDBI,-21.28187364,-050.33080722,-21.28201524,-050.32308167,22.86,11
SSCE,-31.33062735,-054.13456939,-31.32492820,-054.13487505,49.99,01
SNKB,-07.17909812,-035.99382405,-07.17756855,-035.98673151,20.12,10
SSBZ,-29.67960372,-050.98293660,-29.67261850,-050.97984118,29.87,04
SNGS,-09.58583202,-035.76101914,-09.58916798,-035.75453642,21.03,14
SSHA,-20.48487231,-055.77340247,-20.47679435,-055.76548642,39.93,06
SSBG,-29.14625501,-051.54104157,-29.15041165,-051.53173622,29.87,13
SIXE,-30.04964422,-051.45190175,-30.05091134,-051.43532047,29.87,11
SSAF,-25.36664912,-054.47457300,-25.37223975,-054.46653813,29.87,14
SSRN,-26.31982847,-049.52607513,-26.32017153,-049.51503599,18.90,11
SSKT,-27.61573601,-048.67361902,-27.60759733,-048.67193654,17.98,03
SSDM,-30.82293798,-055.57970785,-30.82150646,-055.57306993,20.12,09
SIPA,-21.64190215,-046.93835248,-21.64754228,-046.92831419,17.98,14
SDNY,-22.74526900,-043.46614700,-22.74540300,-043.45446700,28.04,11
LEVB,39.57623100,003.12399300,39.57823800,003.12881600,35.05,7
IA54,42.20047704,-093.63827944,42.20004462,-093.62993168,24.38,09
