icao,latitude,longitude,name
SJSS,-12.50833333,-55.69527778,AGRIFOR
LGAG,38.6020705,21.351192,AGRINION
SIHW,-21.218888885,-47.87638889,Agrishow
SWBW,-14.76833333,-60.03444444,Agro Pousadas do Guapore
5CA7,36.335972,-120.2470845,AGRO WEST
SIZU,-13.435833335,-54.276666675,Agrochapada
SWAF,-16.48388889,-54.66722222,Agroer Aviacao Agricola
SJRJ,-7.64027778,-56.78777778,Agromineral Mutum
SNTP,-2.525277775,-48.75194444,Agropalma
SDRO,-16.465555555,-54.711944435,Agropastoril Bom Pastor
SNMF,-21.350555555,-46.250555555,Agropastoril Monte Alegre
SDUA,-3.50861111,-56.31583333,Agropastoril Sol Nascente
SJSF,-19.84138889,-49.68833333,Agropecuaria Barrinha
SWHE,-10.73444444,-54.53444444,Agropecuaria Cajabi
SNLJ,-9.516666665,-61.25,Agropecuaria Ceu Aberto LTDA
SIZS,-13.5375,-53.43916667,Agropecuaria Equus
SNLK,-9.715833335,-61.04666667,Agropecuaria Ferreira Penco LTDA
SWAH,-10.14166667,-60.65277778,Agropecuaria Floresta Sao Joaquim LTDA
SNOL,-9.97111111,-56.21,Agropecuaria Mariana
SSYQ,-28.37888889,-52.87944444,Agropecuaria Monte Alverne
SWQH,-10.14722222,-60.538611115,Agropecuaria Nova Santana
SJRK,-9.23222222,-50.93027778,Agropecuaria Sao Roberto
SWNF,-10.89194444,-55.564166675,Agropecuaria Tratex
SJHU,-13.87861111,-60.09638889,Agropecuaria Vale do Guapore
SWZA,-11.366944435,-58.11722222,Agrosan
SIUL,-6.775555555,-45.89166667,Agroserra
SNAV,-9.50416667,-40.369444435,Agrovale
SILS,-6.390833335,-56.285,Agua Branca
SCKO,-37.99295905,-072.24953398,Agua Buena
L54,32.95004999,-116.29334639,Agua Caliente Springs
L70,34.5035655,-118.313043,AGUA DULCE AIRPARK
SJYE,4.620555555,-60.27722222,Agua Fria
MM65,31.25142975,-109.61140275,AGUA PRIETA SOUTH
MM75,31.2429235,-109.6250885,AGUA PRIETA SOUTHWEST
TJBQ,18.49498498,-067.13571611,Aguadilla/Rafael Hernandez
MMAL,26.333965,-99.542436,AGUALEGUAS
MM44,26.3044025,-99.550193,AGUALEGUAS OLD
SJXB,-15.756388885,-58.80194444,Aguapey
SKOC,8.315061,-73.358332,AGUAS CLARAS
SJQL,-19.31972222,-47.55305556,Aguas Claras Aviacao Agricola
SJXH,-27.216944435,-53.272500005,Aguas Frias
SWIV,-1.268055555,-53.26138889,Aguia Branca do Paru
RORA,26.588881,127.242219,Aguni
7FD9,30.62437444,-83.28681417,AH Farm
1CA4,33.86946305,-114.52690112,Aha-Quin
NTHE,-14.4280555,-146.2569445,AHE
CL84,37.38827,-120.92742723,Ahlem Farms
66MO,38.83199416,-90.95124945,Ahlers Acres
VAAH,23.077196,72.634632,AHMEDABAD
EFAH,64.895,25.7558,Ahmosuo
EDHO,53.70090349,009.73906190,Ahrenlohe
OIAW,31.3374305,48.761949,AHWAZ
WX03,-04.33333300,137.83192500,Aideralma (AMA)
LOXA,47.533,14.133,Aigen
85GA,34.17232833,-83.731005,Aiken Field
KAIK,33.65114200,-081.68720200,Aiken Muni
YALR,-22.64620892,133.34507809,AILERON
DAAS,36.17608100,005.32821000,Ain Arnat
DAAQ,35.5254355,2.878746,AIN OUSSERA
06TE,30.3127085,-95.026875,AINSWORTH
KANW,42.57708836,-100.00063399,AINSWORTH MUNI
AIE,-05.14088800,144.73158100,Aiome
GQNA,16.711293,-9.637882,AIOUN EL ATROUSS
5GA4,34.10593138,-84.44853973,Air Acres
52KY,38.11813277,-84.3024325,Air Castle
49CO,40.09331555,-104.37523195,Air Dusters Inc
LL09,42.28057833,-88.09452389,Air Estates Inc
W88,36.17096861,-79.7955875,Air Harbor
6PA6,41.35008333,-75.48296223,Air Haven
F69,33.023472,-96.8369445,AIR PARK DALLAS
0IN4,41.12782666,-84.94718806,Air Park Field
0D9,44.95834138,-84.95837973,Air Park North
4MI1,41.83060333,-83.68743751,Air Rahe
60TA,32.3251415,-96.9475,AIR RANCH ESTATES
NV23,39.87213,-119.7010225,Air Sailing
WI69,42.80001472,-88.33342695,Air Troy Estates - Restricted
UT07,40.42496,-109.59236112,Air Village Strip
96MN,43.56801305,-93.25437195,Air-Ag
JY07,40.69565472,-75.13239667,Air-List-Ads
CO73,38.10000999,-102.21713278,Air-Sprayers Nr 2
81G,42.77364555,-84.89999306,Airbatco Field
KILN,39.42762425,-83.7915805,AIRBORNE AIRPARK
CEF4,51.26230975,-113.935989375,AIRDRIE
42MO,38.12310916,-90.38901056,Aire Parque
LFDA,43.7101385,-0.2465275,Aire sur l'Adour
LF01,50.642425,2.442428,Aire sur la Lys
2IS,26.7419445,-81.049722,AIRGLADES
09N,41.83259305,-73.87596778,Airhaven
KLVN,44.627858,-93.228097,AIRLAKE
1H1,43.20506805,-76.17881445,Airlane Enterprises
2VA9,38.757894,-77.787217,AIRLIE
OK93,36.33342666,-95.88360139,Airman Acres
0GA2,34.37788194,-82.94569889,Airnautique Inc.
04MO,39.3011525,-91.45154278,Airpark - Private
1F7,32.81401527,-96.35220417,Airpark East
20KS,37.67585138,-96.88531001,Airpark Estates
MT05,45.70606194,-108.62236112,Airpark Oscars
48X,27.64253277,-82.52092917,Airport Manatee
AZ79,33.53004111,-112.21654251,Airscrew Performance Flightpark
45XS,34.91894611,-101.90269001,Airsport Skyranch
D93,42.85006722,-76.84967973,Airtrek
SC15,32.6321275,-80.50399306,Airy Hall
6NY3,42.64395972,-76.72967251,Airy-Acres
SYAH,-2.4733329,-59.3208313,Aishalton
ATP,-03.13522400,142.34676800,Aitape
KAIT,46.54802625,-93.677605,AITKIN MUNI STEVE KURTZ FLD
NCAI,-18.82932298,-159.76645144,Aitutaki
LFLB,45.63717891,005.88364090,Aix-Les-Bains
AYAY,-6.341833,145.904333,Aiyura
VEAZ,23.7466015,92.802767,AIZAWL
DN51,7.4572375,6.461129,AJAOKUTA
SJYF,2.00777778,-61.47583333,Ajarani
SDIR,1.8875,-62.01833333,Ajarani 2
OR46,45.38318333,-120.46782445,Ajax
6AR2,35.02036694,-93.06489667,Ajs
E31,32.9861625,-112.02569612,Ak Chin Community Airfield
VI90,26.4475665,82.568157,AKBARPUR
RJOE,34.529989,136.675269,Akeno AB
PAKH,56.93920222,-154.183135,Akhiok
LTBT,38.80895025,27.833787,AKHISAR
Z13,60.90603523,-161.42725086,Akiachak
PFAK,60.9028915,-161.2305945,AKIAK
FO22,-1.1294375,13.9205055,AKIENI
WAKA,-04.60328875,137.65927921,Akimuga (MAF)
60Q,38.75406861,-120.89910584,Akin
E99,34.77228611,-103.8560775,Akin and Akin
LTAE,40.078918,32.565625,AKINCI
RJSK,39.6156445,140.2186655,AKITA
CYKD,68.2233315,-135.005835,AKLAVIK
NE38,40.70931992,-098.56002522,Aknux
VAAK,20.6990595,77.0586265,AKOLA
9G3,43.020839,-78.48293,AKRON
KCAK,40.91496873,-081.43668210,AKRON CANTON RGNL
KAKR,41.03922141,-081.45749016,AKRON FULTON INTL
Y40,42.80582666,-96.56308834,Akron Municipal
LCRA,34.590417,32.98775,Akrotiri
UATE,43.85764472,051.08607708,AKTAU
LGPZ,38.92454530,020.76838110,AKTIO
